,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
38121,4.304,0,5290.0,7.0,2.0,868.889,0.069,0.58,7,unkempt,0.0
23458,4.5,0,9051.0,8.0,3.0,792.75,0.054,0.59,7,nebular,1.718204577912445
4209,6.759,0,9243.0,7.0,2.0,808.474,0.098,0.59,7,brevity,1.8185546284430798
3420,4.094,0,9985.0,4.0,2.0,748.105,0.097,0.59,7,birthed,1.921035407214616
24058,3.178,0,10000.0,5.0,1.0,824.85,0.086,0.59,7,nuptial,2.248091983038522
30669,4.007,0,6595.0,6.0,1.0,823.632,0.165,0.58,7,ruffian,2.3817828006102473
24478,3.526,0,5732.0,5.0,1.0,785.1,0.177,0.59,7,opossum,2.706198628954326
14989,5.537,0,7989.0,5.0,1.0,858.4,0.162,0.59,7,gazelle,2.9398974492656085
35499,5.541,0,9764.0,5.0,1.0,729.053,-0.001,0.58,7,tableau,3.0794468012138347
28383,6.727,0,6143.0,5.0,1.0,721.2,-0.042,0.57,7,quibble,3.2824054455223943
21804,5.247,0,16999.0,5.0,1.0,807.789,0.073,0.58,7,Matisse,3.3453548111961213
6477,6.384,0,7316.0,8.0,3.0,882.421,0.212,0.58,7,coaxial,3.567163710924641
14344,6.066,0,6913.0,6.0,1.0,749.65,0.226,0.59,7,foundry,3.7559838760473965
25703,3.045,0,8387.0,5.0,2.0,839.1,0.248,0.59,7,peckish,3.7722067703499205
4151,6.994,0,9322.0,5.0,2.0,741.7,-0.087,0.59,7,breadth,4.064885115136124
14568,6.375,0,13260.0,6.0,1.0,766.0,0.162,0.59,7,frigate,4.094468791034786
8841,4.078,0,10591.0,5.0,2.0,758.211,-0.115,0.58,7,dappled,4.096199815335163
31348,1.099,0,5941.0,6.0,2.0,716.579,-0.143,0.58,7,scraggy,4.214246298602318
34969,0.0,0,12128.0,6.0,2.0,831.526,0.212,0.58,7,summate,4.5210897874721265
4607,6.802,0,10165.0,6.0,2.0,849.167,0.281,0.58,7,bureaus,4.695911528271862
