,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
38483,7.541,0,2855.0,5.0,2.0,786.4,-0.195,0.97,6,upkeep,0.0
19524,6.229,0,3094.0,5.0,,685.697,-0.21,0.97,6,Joel's,0.4622580635466025
28279,5.72,0,3625.0,5.0,2.0,747.667,-0.22,0.97,6,quacks,0.6879545923523503
19595,6.129,0,3514.0,4.0,2.0,704.818,-0.176,0.97,6,joyous,0.8186810312540789
33509,6.501,0,4102.0,6.0,2.0,714.833,-0.208,0.97,6,spasms,0.9319641602307268
38475,6.715,0,5090.0,5.0,2.0,713.441,-0.194,0.97,6,uphill,0.9902347386997833
19331,8.253,0,4207.0,4.0,2.0,731.75,-0.24,0.97,6,Jackie,1.0670053203027234
14442,6.17,0,4728.0,5.0,2.0,699.152,-0.256,0.97,6,frauds,1.2599942545540652
24024,7.775,0,5384.0,6.0,2.0,755.812,-0.218,0.97,6,nudity,1.2730434368112997
28350,9.393,0,3344.0,6.0,1.0,725.75,-0.17,0.97,6,Quebec,1.3212212627170004
19668,7.01,0,4001.0,5.0,2.0,715.933,-0.349,0.97,6,junkie,1.3471278800777515
35244,7.43,0,1330.0,6.0,1.0,728.467,-0.19,0.97,6,Suzuki,1.3477568672296527
34611,5.142,0,4928.0,5.0,2.0,744.125,-0.14,0.97,6,stubby,1.378549511339447
38168,4.554,0,5299.0,6.0,2.0,788.806,-0.19,0.97,6,unmask,1.4806202449960424
9561,8.476,0,5315.0,7.0,2.0,716.242,-0.192,0.97,6,deputy,1.4900585193682723
24025,5.74,0,3392.0,5.0,1.0,732.588,-0.096,0.97,6,nugget,1.5001674372440652
33224,8.214,0,3106.0,6.0,2.0,667.938,-0.399,0.97,6,softly,1.5685640261508151
24684,9.387,0,4344.0,5.0,1.0,668.71,-0.236,0.97,6,Ottawa,1.6248939069911286
31943,6.366,0,3598.0,4.0,2.0,646.625,-0.373,0.97,6,shaggy,1.7019026947679188
24112,6.867,0,6120.0,4.0,2.0,726.909,-0.249,0.97,6,obeyed,1.7840934334979688
