,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
40296,6.299,2,5065.0,3.0,1.0,752.391,-0.079,0.72,7,wrought,0.0
6619,6.62,2,9402.0,5.0,1.0,796.13,-0.102,0.72,7,collage,1.9192985000901075
14450,2.89,0,7123.0,5.0,1.0,749.913,-0.072,0.72,7,frazzle,2.7041671629225688
28681,5.826,1,12150.0,5.0,1.0,711.261,-0.099,0.72,7,ratchet,2.9447547851511846
4442,5.1,2,11619.0,5.0,,785.818,-0.144,0.71,7,buckler,3.021537269970721
31425,3.296,0,7108.0,6.0,1.0,821.261,-0.085,0.72,7,scrunch,3.0457247137676298
11866,6.377,1,10096.0,6.0,1.0,754.739,-0.005,0.72,7,enclave,3.433205638169638
16648,5.545,0,5857.0,6.0,1.0,724.0,0.014,0.73,7,hemlock,3.48932070735174
21837,7.11,0,12730.0,5.0,1.0,752.458,-0.05,0.73,7,Maureen,3.684460055384508
34116,6.265,0,10681.0,5.0,1.0,653.583,-0.152,0.71,7,staunch,3.837821945460984
12395,6.515,0,9402.0,6.0,1.0,721.167,-0.153,0.71,7,ethanol,3.870090351546483
14585,4.344,1,16658.0,5.0,1.0,720.625,-0.103,0.71,7,fritter,4.121446305154114
3198,4.564,1,9972.0,7.0,2.0,798.348,-0.094,0.72,7,bequest,4.324423514901993
14247,5.476,0,8323.0,6.0,1.0,744.391,0.045,0.72,7,forlorn,4.333672483726326
25527,5.823,0,12013.0,5.0,1.0,839.583,0.013,0.73,7,Pasteur,4.393023106882612
36245,7.663,0,9319.0,5.0,2.0,724.833,-0.004,0.73,7,Thomson,4.709331887259707
40261,5.525,0,7902.0,4.0,1.0,762.583,-0.304,0.73,7,wriggle,4.855613757141647
9817,6.525,1,9507.0,6.0,2.0,820.292,0.029,0.73,7,devotee,4.865406222170243
5703,5.9,0,11368.0,4.0,1.0,656.609,-0.252,0.72,7,Chaucer,4.930281424778058
39522,2.89,0,13876.0,5.0,2.0,736.708,-0.082,0.73,7,wearied,5.0178557380842195
